created_at,user_id,text,favorite_count,retweet_count,reply_count,cleaned_text
2024-12-06 04:05:00+00:00,1418557133759520772,"Today's News   
(Friday, December 6th, 2024)      

#NEPSE #MallaStock11 #TodaysAnnouncement #ShareMarket #TodaysNews https://t.co/F03W99B3An",1,1,0,today news friday december th
2024-12-06 02:06:38+00:00,1497239225028476930,"Good Friday - Bhagavad Gita Chapter 9, Verse 22
Assurance of divine support for those who are dedicated to spiritual devotion. #friday 
#greennepse #greennep #NEPAL #NEPSE #NepaliShareMarket https://t.co/cHuYyObNyx",0,0,0,good friday bhagavad gita chapter verse assurance divine support dedicated spiritual devotion
2024-12-05 18:15:00+00:00,4330718412,"The Nepal Stock Exchange (NEPSE) index decreased by 15.93 points on Thursday, closing at 2,734.93 points, with a turnover of over Rs. 8.36 billion. 

#NEPSE #NEPSElive #NepaliPaisa

https://t.co/0v9Wrt1cMT https://t.co/TvJcmmlcZZ",0,0,0,nepal stock exchange nepse index decreased point thursday closing point turnover r billion
2024-12-05 17:14:40+00:00,1857079869676367872,"HRL aligns well with its fundamentals, showing promising business growth. For more confident trades, watch for a trendline break or MSS confirmation. With a clear path ahead, HRL looks poised to achieve new heights. #NEPSE #bazarkochirfar https://t.co/k5OlZYATS5",0,0,0,hrl aligns well fundamental showing promising business growth confident trade watch trendline break ms confirmation clear path ahead hrl look poised achieve new height
2024-12-05 16:33:25+00:00,1857079869676367872,"eyeframe tales 
for educational purpose only 
#NEPSE #akjcl https://t.co/qbMQ3ptf6M",1,0,0,eyeframe tale educational purpose
2024-12-05 16:01:29+00:00,120178987,"@NepseStock Commercial bank weightage is 38% in #NEPSE, looking at banking index, it looks more likely, a super doom market.",0,0,0,commercial bank weightage looking banking index look likely super doom market
2024-12-05 15:15:03+00:00,1740680429592551424,"NEWS OF THE DAY
#bajarkochirfar #highliightsnews #nepse #bizshots https://t.co/WcPxaFul7E",0,0,0,news day
2024-12-05 14:18:16+00:00,805448816828813312,"NEPSE LIVE TRADING https://t.co/j7ZBr1Bl2m via @YouTube

#NEPSE #livestream https://t.co/nG8XMYdCDO",1,1,0,nepse live trading via
2024-12-05 10:57:27+00:00,1793881175356035072,"Nepal Stock Exchange WeeklyUpdate (Nov 28 - Dec 5)
#NEPSE https://t.co/3hCD8Qz4wg",0,0,0,nepal stock exchange weeklyupdate nov dec
2024-12-05 10:15:33+00:00,960785663720415232,"""The Nepal Stock Exchange (NEPSE) plunged by 15. 93 points to close at 2,734.93 points on Thursday""

#Nepse #AMN 
https://t.co/jffH0dPgoo",0,0,0,nepal stock exchange nepse plunged point close point thursday
2024-12-05 10:15:01+00:00,1529437504155582466,"Today's Market Overview || 20  Mangsir 2081
.
.
. 
#naasasecurities #marketupdate #update #nepse #index #overview #sharemarket #sharebroker #brokerinnepal #dailyupdate #new #bestbroker  #nepal #mangsir #topbroker #learn #stockmarket #demat #meroshare #tms58 https://t.co/sgrzMLOPfj",0,0,0,today market overview mangsir
2024-12-05 09:56:01+00:00,1858767863911510016,"Today's Market Overview  -2081 Mangsir 20
-Create Online TMS With Us #followerseveryone https://t.co/Q7T4yRj6jv… 
Follow us at - https://t.co/gUnw4lQ2aN…
https://t.co/y6NQCLAkTH #NEPSE #NepalStockExchange #ShareMarket #StockMarket #Investment #InvestmentCompany #PahiInvestment https://t.co/uk7Tq1GeUm",0,0,0,today market overview mangsir create online tm u follow u
2024-12-05 09:55:31+00:00,1298972889509556225,"#NEPSE Army Can u guess the sector 👇

 https://t.co/CC7agpHWje",3,0,4,army u guess sector
2024-12-05 09:55:11+00:00,1499752400848326656,"Price Adjusted - NRN Infrastructure and Development Limited (NRN) 
Adjusted price of NRN Infrastructure and Development Limited (NRN) is Rs.1061.90 for 5% Bonus shares on previous closing price of Rs.1115
 #NEPSE #NepalStockExchange",0,0,0,price adjusted nrn infrastructure development limited nrn adjusted price nrn infrastructure development limited nrn r bonus share previous closing price r
2024-12-05 09:48:51+00:00,439813341,Expect a strong bounce on Sunday or Monday. We are very close to either a super boom or a super doom market. #NEPSE https://t.co/8RNlMEeVYi,45,1,9,expect strong bounce sunday monday close either super boom super doom market
2024-12-05 09:40:56+00:00,1786576726895562752,"Portfolio Performance Today 🥹
My Portfolio: 📉-1.23%
#NEPSE: 📉-0.58%
Share Yours via https://t.co/FtuRo9C1FT #dharke #portfolio",1,0,0,portfolio performance today portfolio share via
2024-12-05 09:20:28+00:00,1799078546444517377,"#NEPSE 

FUN DAY TODAY ! https://t.co/pyUdWN3oZ0",0,0,0,fun day today
